Key,en,es,ar,fr
Please verify KYC information,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Get Support,Get Support,Obtenga soporte,احصل على الدعم,Obtenir de l'aide
Fill up information and verify your KYC.,Fill up information and verify your KYC.,Complete la información y verifique su KYC.,املأ المعلومات وتحقق من KYC الخاص بك.,Remplissez les informations et vérifiez votre KYC.
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres du profil
Change,Change,Cambiar,يتغير,Changement
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم,Billets d'assistance
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Ajouter un nouveau billet
Search,Search,Buscar,يبحث,Recherche
Transfer Money Charges,Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
Exchange Money Charges,Exchange Money Charges,Cargos por cambio de dinero,رسوم صرف الأموال,Frais de change
Add Money Charge,Add Money Charge,Agregar cargo de dinero,إضافة تهمة المال,Ajouter des frais d'argent
Money Out Charges,Money Out Charges,Cargos por retiro de dinero,رسوم صرف الأموال,Frais de retrait d'argent
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,URL de l'application iOS
From Address,From Address,De la dirección,من العنوان,De l'adresse
(Max 5),(Max 5),(máximo 5),(الحد الأقصى 5),(Maximum 5)
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان,Catégorie d'annonce
category?,category?,¿categoría?,فئة؟,catégorie?
Remove,Remove,Eliminar,يزيل,Retirer
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!,Catégorie ajoutée avec succès !
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de supprimer cette annonce ?
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد,Créer une nouvelle annonce
Select Category,Select Category,Seleccionar categoría,حدد الفئة,Sélectionnez une catégorie
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,El título del anuncio es similar. Por favor actualice/cambie este título,عنوان الإعلان مشابه. يرجى تحديث/تغيير هذا العنوان,Le titre de l’annonce est similaire. Veuillez mettre à jour/modifier ce titre
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!,Annonce créée avec succès !
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó exitosamente!,تم تحديث حالة الإعلان بنجاح!,Statut de l'annonce mis à jour avec succès !
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!,Annonce supprimée avec succès !
Announcement does't exists!,Announcement does't exists!,¡El anuncio no existe!,الإعلان غير موجود!,L'annonce n'existe pas !
Announcement Edit,Announcement Edit,Anuncio Editar,تحرير الإعلان,Annonce Modifier
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!,Annonce mise à jour avec succès !
Add Tags,Add Tags,Agregar etiquetas,إضافة العلامات,Ajouter des balises
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum
Maximum,Maximum,Máximo,الحد الأقصى,Maximum
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Percent,Percent,Por ciento,نسبة مئوية,Pour cent
Input Text,Input Text,Texto de entrada,إدخال النص,Texte de saisie
File,File,Archivo,ملف,Déposer
Textarea,Textarea,área de texto,منطقة النص,Zone de texte
Select,Select,Seleccionar,يختار,Sélectionner
* (Use for make page link (URL)),* (Use for make page link (URL)),* (Usar para crear un enlace a la página (URL)),* (استخدم لإنشاء رابط الصفحة (URL)),* (Utiliser pour créer un lien de page (URL))
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Devise prise en charge
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Devise activée
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Type de devise
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Nom de la passerelle
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة,Titre de la passerelle
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole monétaire
Are you sure to delete this,Are you sure to delete this,¿Estás seguro de eliminar esto?,هل أنت متأكد من حذف هذا,Etes-vous sûr de supprimer ceci
gatewayt,gatewayt,puerta de enlace,بوابة,passerelle
Production,Production,Producción,إنتاج,Production
Sandbox,Sandbox,Salvadera,رمل,Bac à sable
"Client ID
","Client ID
","ID de cliente
","معرف العميل
","Identifiant client
"
"Secret ID
","Secret ID
","identificación secreta
","معرف سري
","ID secret
"
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة,Environnement de passerelle
Instruction,Instruction,Instrucción,تعليمات,Instruction
ex: Paypal,ex: Paypal,Ej: Paypal,على سبيل المثال: باي بال,ex : Paypal
ex: United State Dollar,ex: United State Dollar,Ej: dólar estadounidense,على سبيل المثال: دولار الولايات المتحدة,ex : dollar américain
ex: USD,ex: USD,ejemplo: USD,على سبيل المثال: دولار أمريكي,ex : USD
ex: $,ex: $,ej: $,على سبيل المثال: $,ex : $
SSL,SSL,SSL,طبقة المقابس الآمنة,SSL
TLS,TLS,TLS,TLS,TLS
LTR,LTR,LTR,لتر,LTR
RTL,RTL,RTL,من اليمين إلى اليسار,RTL
Vendor,Vendor,Proveedor,بائع,Fournisseur
About Our CarBo,About Our CarBo,Acerca de nuestro CarBo,حول لدينا كاربو,À propos de notre CarBo
FAQ,FAQ,Preguntas frecuentes,التعليمات,FAQ
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section FAQ
Our Service,Our Service,Nuestro Servicio,خدمتنا,Notre service
Services,Services,Servicios,خدمات,Services
Blog,Blog,Blog,مدونة,Blogue
Blog Section,Blog Section,Sección de blogs,قسم المدونة,Section Blogue
Blog Details,Blog Details,Detalles del blog,تفاصيل المدونة,Détails du blog
Tags,Tags,Etiquetas,العلامات,Balises
Categories,Categories,Categorías,فئات,Catégories
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة,Messages récents
Section Title,Section Title,Título de la sección,عنوان القسم,Titre de la section
Contact Us,Contact Us,Contáctenos,اتصل بنا,Contactez-nous
Contact,Contact,Contacto,اتصال,Contact
Name,Name,Nombre,اسم,Nom
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Message,Message,Mensaje,رسالة,Message
Find Car,Find Car,encontrar coche,ابحث عن سيارة,Trouver une voiture
Registration,Registration,Registro,تسجيل,Inscription
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
Terms Of Use,Terms Of Use,Condiciones de uso,شروط الاستخدام,Conditions d'utilisation
Enter Email,Enter Email,Ingrese el correo electrónico,أدخل البريد الإلكتروني,Entrez l'e-mail
Enter Password,Enter Password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le mot de passe
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après
History,History,Historia,تاريخ,Histoire
Please contact our support,Please contact our support,Por favor contacte nuestro soporte,يرجى الاتصال بدعمنا,Veuillez contacter notre support
Delate Account,Delate Account,Cancelar cuenta,تأخير الحساب,Supprimer le compte
Are you sure to delete your account?,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟,Êtes-vous sûr de supprimer votre compte ?
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم,Si vous ne pensez pas utiliser
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب"".","encore et comme votre compte supprimé. Gardez à l’esprit que vous ne pourrez pas réactiver votre compte ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte ». ?"
Support Type,Support Type,Tipo de soporte,نوع الدعم,Type de prise en charge
User,User,Usuario,مستخدم,Utilisateur
Login as Vendor,Login as Vendor,Iniciar sesión como vendedor,تسجيل الدخول كمورد,Connectez-vous en tant que fournisseur
Join as Vendor,Join as Vendor,Unirse como vendedor,انضم كبائع,Rejoindre en tant que fournisseur
